"time","usage","percent1","percent2","nonElect1","nonElect2","co"
2016-01-01 00:15:00,154.26,95.02,100,50.58,0,0.07
2016-01-01 00:30:00,156.96,95.24,100,50.22,0,0.07
2016-01-01 00:45:00,155.34,94.62,100,53.1,0,0.07
2016-01-01 01:00:00,153,93.95,100,55.8,0,0.07
2016-01-01 01:15:00,152.64,94.86,100,50.94,0,0.07
2016-01-01 01:30:00,163.26,94.72,100,55.26,0,0.07
2016-01-01 01:45:00,163.08,93.99,100,59.22,0,0.07
2016-01-01 02:00:00,147.6,94.98,100,48.6,0,0.07
2016-01-01 02:15:00,149.94,95.84,100,44.64,0,0.07
2016-01-01 02:30:00,152.46,95.01,100,50.04,0,0.07
2016-01-01 02:45:00,156.06,94.9,100,51.84,0,0.07
2016-01-01 03:00:00,167.22,94.83,100,55.98,0,0.08
2016-01-01 03:15:00,149.76,93.48,100,56.88,0,0.07
2016-01-01 03:30:00,154.44,94.29,100,54.54,0,0.07
2016-01-01 03:45:00,143.1,94.1,100,51.48,0,0.07
2016-01-01 04:00:00,149.4,95.09,100,48.6,0,0.07
2016-01-01 04:15:00,147.96,94.87,100,49.32,0,0.07
2016-01-01 04:30:00,149.94,94.48,100,52.02,0,0.07
2016-01-01 04:45:00,151.74,94.97,100,50.04,0,0.07
2016-01-01 05:00:00,146.7,95.57,100,45.18,0,0.07
2016-01-01 05:15:00,153.18,95.22,100,49.14,0,0.07
2016-01-01 05:30:00,150.3,94.29,100,53.1,0,0.07
2016-01-01 05:45:00,156.24,95.27,100,49.86,0,0.07
2016-01-01 06:00:00,140.22,95.43,100,43.92,0,0.06
2016-01-01 06:15:00,145.08,94.86,100,48.42,0,0.07
2016-01-01 06:30:00,156.06,94.26,100,55.26,0,0.07
2016-01-01 06:45:00,146.52,95.39,100,46.08,0,0.07
2016-01-01 07:00:00,149.76,95.42,100,46.98,0,0.07
2016-01-01 07:15:00,164.16,95.6,100,50.4,0,0.08
2016-01-01 07:30:00,154.44,93.84,100,56.88,0,0.07
2016-01-01 07:45:00,170.82,94.42,100,59.58,0,0.08
2016-01-01 08:00:00,162.9,95.01,100,53.46,0,0.07
2016-01-01 08:15:00,164.34,95.31,100,52.2,0,0.08
2016-01-01 08:30:00,155.34,95.59,100,47.7,0,0.07
2016-01-01 08:45:00,165.78,95.23,100,53.1,0,0.08
2016-01-01 09:00:00,171,94.56,100,58.86,0,0.08
2016-01-01 09:15:00,164.7,94.96,100,54.36,0,0.08
2016-01-01 09:30:00,147.6,95.05,100,48.24,0,0.07
2016-01-01 09:45:00,151.74,94.73,100,51.3,0,0.07
2016-01-01 10:00:00,155.52,93.7,100,57.96,0,0.07
