"time","usage","percent1","percent2","nonElect1","nonElect2","co"
2016-01-01 00:15:00,35.37,95.64,100,10.8,0,0.02
2016-01-01 00:30:00,35.55,94.63,100,12.15,0,0.02
2016-01-01 00:45:00,36.09,94.84,100,12.06,0,0.02
2016-01-01 01:00:00,36.09,95.47,100,11.25,0,0.02
2016-01-01 01:15:00,34.11,95.69,100,10.35,0,0.02
2016-01-01 01:30:00,36.72,95.14,100,11.88,0,0.02
2016-01-01 01:45:00,32.58,94.36,100,11.43,0,0.01
2016-01-01 02:00:00,31.59,95.42,100,9.9,0,0.01
2016-01-01 02:15:00,31.32,94.62,100,10.71,0,0.01
2016-01-01 02:30:00,29.97,95.04,100,9.81,0,0.01
2016-01-01 02:45:00,32.22,94.57,100,11.07,0,0.01
2016-01-01 03:00:00,29.88,94.93,100,9.9,0,0.01
2016-01-01 03:15:00,31.32,95.11,100,10.17,0,0.01
2016-01-01 03:30:00,30.06,94.9,100,9.99,0,0.01
2016-01-01 03:45:00,30.42,95.34,100,9.63,0,0.01
2016-01-01 04:00:00,31.05,95.74,100,9.36,0,0.01
2016-01-01 04:15:00,31.68,93.63,100,11.88,0,0.01
2016-01-01 04:30:00,31.41,92.72,100,12.69,0,0.01
2016-01-01 04:45:00,32.13,93.96,100,11.7,0,0.01
2016-01-01 05:00:00,30.24,94.95,100,9.99,0,0.01
2016-01-01 05:15:00,29.52,94,100,10.71,0,0.01
2016-01-01 05:30:00,29.34,93.84,100,10.8,0,0.01
2016-01-01 05:45:00,34.83,94.5,100,12.06,0,0.02
2016-01-01 06:00:00,33.48,95.25,100,10.71,0,0.02
2016-01-01 06:15:00,40.95,95.52,100,12.69,0,0.02
2016-01-01 06:30:00,42.03,93.9,100,15.39,0,0.02
2016-01-01 06:45:00,45.63,95.31,100,14.49,0,0.02
2016-01-01 07:00:00,47.52,95.45,100,14.85,0,0.02
2016-01-01 07:15:00,56.16,94.96,100,18.54,0,0.03
2016-01-01 07:30:00,54.27,94.68,100,18.45,0,0.02
2016-01-01 07:45:00,53.64,94.95,100,17.73,0,0.02
2016-01-01 08:00:00,55.62,94.3,100,19.62,0,0.03
