"time","usage","percent1","percent2","nonElect1","nonElect2","co"
2016-01-01 00:15:00,16.06,100,92,0,6.84,0.01
2016-01-01 00:30:00,16.31,100,92.14,0,6.88,0.01
2016-01-01 00:45:00,16.27,100,92.76,0,6.55,0.01
2016-01-01 01:00:00,16.49,100,93.15,0,6.44,0.01
2016-01-01 01:15:00,16.88,100,93.49,0,6.41,0.01
2016-01-01 01:30:00,16.24,100,92.44,0,6.7,0.01
2016-01-01 01:45:00,17.03,100,93.33,0,6.55,0.01
2016-01-01 02:00:00,16.49,100,92.51,0,6.77,0.01
2016-01-01 02:15:00,17.14,100,93.14,0,6.7,0.01
2016-01-01 02:30:00,16.7,100,92.11,0,7.06,0.01
2016-01-01 02:45:00,16.49,100,92.15,0,6.95,0.01
2016-01-01 03:00:00,16.38,100,92.06,0,6.95,0.01
2016-01-01 03:15:00,17.46,100,93.04,0,6.88,0.01
2016-01-01 03:30:00,16.63,100,92.56,0,6.8,0.01
2016-01-01 03:45:00,16.45,100,92.26,0,6.88,0.01
2016-01-01 04:00:00,17.28,100,92.91,0,6.88,0.01
2016-01-01 04:15:00,17.42,100,93.01,0,6.88,0.01
2016-01-01 04:30:00,17.68,100,93.19,0,6.88,0.01
2016-01-01 04:45:00,17.03,100,92.79,0,6.84,0.01
2016-01-01 05:00:00,17.06,100,92.69,0,6.91,0.01
2016-01-01 05:15:00,15.59,100,91.49,0,6.88,0.01
2016-01-01 05:30:00,17.06,100,92.82,0,6.84,0.01
2016-01-01 05:45:00,16.99,100,92.56,0,6.95,0.01
2016-01-01 06:00:00,17.75,100,93.43,0,6.77,0.01
2016-01-01 06:15:00,17.93,100,93.36,0,6.88,0.01
2016-01-01 06:30:00,18.18,100,93.53,0,6.88,0.01
2016-01-01 06:45:00,17.46,100,92.98,0,6.91,0.01
2016-01-01 07:00:00,16.52,100,92.39,0,6.84,0.01
2016-01-01 07:15:00,17.24,100,92.88,0,6.88,0.01
2016-01-01 07:30:00,18.32,100,94.05,0,6.62,0.01
2016-01-01 07:45:00,18.47,100,94.25,0,6.55,0.01
2016-01-01 08:00:00,17.71,100,93.67,0,6.62,0.01
2016-01-01 08:15:00,18.11,100,94.33,0,6.37,0.01
2016-01-01 08:30:00,17.93,100,93.62,0,6.73,0.01
2016-01-01 08:45:00,17.35,100,93.23,0,6.73,0.01
2016-01-01 09:00:00,17.03,100,93.26,0,6.59,0.01
2016-01-01 09:15:00,17.96,100,94.13,0,6.44,0.01
2016-01-01 09:30:00,17.64,100,94.24,0,6.26,0.01
2016-01-01 09:45:00,17.82,100,94.16,0,6.37,0.01
2016-01-01 10:00:00,17.53,100,93.73,0,6.52,0.01
2016-01-01 10:15:00,17.75,100,94,0,6.44,0.01
2016-01-01 10:30:00,16.88,100,93.36,0,6.48,0.01
2016-01-01 10:45:00,17.24,100,93.8,0,6.37,0.01
2016-01-01 11:00:00,18.07,100,94.43,0,6.3,0.01
2016-01-01 11:15:00,19.69,100,96.3,0,5.51,0.01
2016-01-01 11:30:00,19.8,100,96.16,0,5.65,0.01
2016-01-01 11:45:00,21.53,100,97.88,0,4.5,0.01
2016-01-01 12:00:00,20.95,100,97.03,0,5.22,0.01
