"time","usage","percent1","percent2","nonElect1","nonElect2","co"
2016-01-01 00:15:00,73.58,97.39,100,17.14,0,0.03
2016-01-01 00:30:00,64.94,98.54,100,11.23,0,0.03
2016-01-01 00:45:00,68.83,97.76,100,14.83,0,0.03
2016-01-01 01:00:00,69.98,98.5,100,12.24,0,0.03
2016-01-01 01:15:00,61.34,99.21,100,7.78,0.29,0.03
2016-01-01 01:30:00,67.25,98.07,100,13.39,0,0.03
2016-01-01 01:45:00,75.31,96.55,100,20.3,0,0.03
2016-01-01 02:00:00,70.7,97.95,100,14.54,0,0.03
2016-01-01 02:15:00,60.77,99,100,8.64,0.14,0.03
2016-01-01 02:30:00,68.26,98.84,100,10.51,0,0.03
2016-01-01 02:45:00,67.1,97.94,100,13.82,0,0.03
2016-01-01 03:00:00,61.34,97.89,100,12.82,0,0.03
2016-01-01 03:15:00,63.79,99,100,9.07,0,0.03
2016-01-01 03:30:00,62.5,99.18,100,8.06,0,0.03
2016-01-01 03:45:00,63.22,97.46,100,14.54,0,0.03
2016-01-01 04:00:00,55.15,99.48,99.98,5.62,1.15,0.03
2016-01-01 04:15:00,61.06,98.88,100,9.22,0,0.03
2016-01-01 04:30:00,60.34,99.02,100,8.5,0.29,0.03
2016-01-01 04:45:00,56.74,99.17,100,7.34,0.14,0.03
2016-01-01 05:00:00,59.04,98.33,100,10.94,0,0.03
2016-01-01 05:15:00,48.82,99.79,99.97,3.17,1.15,0.02
2016-01-01 05:30:00,48.96,99.86,99.98,2.59,1.01,0.02
2016-01-01 05:45:00,51.84,99.53,100,5.04,0.43,0.02
2016-01-01 06:00:00,54.43,99.36,100,6.19,0.29,0.02
2016-01-01 06:15:00,54.86,98.94,100,8.06,0.14,0.03
2016-01-01 06:30:00,65.23,98.48,100,11.52,0,0.03
2016-01-01 06:45:00,72.14,97.99,100,14.69,0,0.03
2016-01-01 07:00:00,59.9,99.42,100,6.48,0.29,0.03
2016-01-01 07:15:00,65.95,98.58,100,11.23,0,0.03
2016-01-01 07:30:00,87.7,95.81,100,26.21,0,0.04
2016-01-01 07:45:00,79.63,97.06,100,19.73,0,0.04
2016-01-01 08:00:00,76.61,97.55,100,17.28,0,0.04
2016-01-01 08:15:00,72.86,98.45,100,12.96,0,0.03
2016-01-01 08:30:00,66.67,97.87,100,13.97,0,0.03
2016-01-01 08:45:00,85.68,95.22,100,27.5,0,0.04
2016-01-01 09:00:00,88.42,93.75,100,32.83,0,0.04
2016-01-01 09:15:00,101.95,92.63,100,41.47,0,0.05
2016-01-01 09:30:00,97.92,92.08,100,41.47,0,0.04
2016-01-01 09:45:00,88.85,92.42,100,36.72,0,0.04
2016-01-01 10:00:00,91.44,93.69,100,34.13,0,0.04
2016-01-01 10:15:00,85.82,93.91,100,31.39,0,0.04
2016-01-01 10:30:00,106.13,91.77,100,45.94,0,0.05
2016-01-01 10:45:00,113.76,92.06,100,48.24,0,0.05
2016-01-01 11:00:00,109.73,92.67,100,44.5,0,0.05
2016-01-01 11:15:00,84.53,94.05,100,30.53,0,0.04
2016-01-01 11:30:00,89.14,93.74,100,33.12,0,0.04
2016-01-01 11:45:00,85.25,96.66,100,22.61,0,0.04
2016-01-01 12:00:00,72.86,97.12,100,17.86,0,0.03
2016-01-01 12:15:00,83.09,95.74,100,25.06,0,0.04
2016-01-01 12:30:00,68.69,97.66,100,15.12,0,0.03
2016-01-01 12:45:00,74.3,96.27,100,20.88,0,0.03
2016-01-01 13:00:00,91.87,94.17,100,32.83,0,0.04
2016-01-01 13:15:00,94.9,92.73,100,38.3,0,0.04
2016-01-01 13:30:00,106.56,92.5,100,43.78,0,0.05
2016-01-01 13:45:00,111.74,91.94,100,47.81,0,0.05
2016-01-01 14:00:00,112.03,91.76,100,48.53,0,0.05
2016-01-01 14:15:00,107.86,93,100,42.62,0,0.05
2016-01-01 14:30:00,106.99,93.49,100,40.61,0,0.05
2016-01-01 14:45:00,100.37,94.51,100,34.7,0,0.05
2016-01-01 15:00:00,87.98,95.08,100,28.66,0,0.04
2016-01-01 15:15:00,104.83,92.46,100,43.2,0,0.05
2016-01-01 15:30:00,115.06,92.67,100,46.66,0,0.05
2016-01-01 15:45:00,106.85,93.14,100,41.76,0,0.05
2016-01-01 16:00:00,98.5,92.92,100,39.17,0,0.05
2016-01-01 16:15:00,94.32,91.65,100,41.18,0,0.04
2016-01-01 16:30:00,111.02,92.53,100,45.5,0,0.05
2016-01-01 16:45:00,104.26,92.83,100,41.76,0,0.05
2016-01-01 17:00:00,111.46,91.69,100,48.53,0,0.05
2016-01-01 17:15:00,99.36,92.05,100,42.19,0,0.05
2016-01-01 17:30:00,77.9,95.8,100,23.33,0,0.04
2016-01-01 17:45:00,81.79,96.69,100,21.6,0,0.04
2016-01-01 18:00:00,73.15,98.01,100,14.83,0,0.03
2016-01-01 18:15:00,62.93,98.81,100,9.79,0,0.03
2016-01-01 18:30:00,75.02,97.73,100,16.27,0,0.03
2016-01-01 18:45:00,77.47,98.18,100,14.98,0,0.04
2016-01-01 19:00:00,67.68,98.55,100,11.66,0,0.03
2016-01-01 19:15:00,74.16,97.76,100,15.98,0,0.03
2016-01-01 19:30:00,79.34,98.17,100,15.41,0,0.04
2016-01-01 19:45:00,60.19,99.61,100,5.33,0.43,0.03
2016-01-01 20:00:00,75.89,97.13,100,18.58,0,0.03
2016-01-01 20:15:00,80.06,97.41,100,18.58,0,0.04
2016-01-01 20:30:00,69.41,99.16,100,9.07,0,0.03
2016-01-01 20:45:00,76.32,97.88,100,15.98,0,0.03
2016-01-01 21:00:00,76.61,97.93,100,15.84,0,0.04
2016-01-01 21:15:00,73.58,98.06,100,14.69,0,0.03
2016-01-01 21:30:00,74.88,97.95,100,15.41,0,0.03
2016-01-01 21:45:00,70.42,98.56,100,12.1,0,0.03
2016-01-01 22:00:00,77.9,97.7,100,16.99,0,0.04
2016-01-01 22:15:00,72.58,98.16,100,14.11,0,0.03
2016-01-01 22:30:00,72.14,97.91,100,14.98,0,0.03
2016-01-01 22:45:00,81.94,97.38,100,19.15,0,0.04
2016-01-01 23:00:00,80.35,97.69,100,17.57,0,0.04
2016-01-01 23:15:00,60.62,98.97,100,8.78,0.29,0.03
2016-01-01 23:30:00,77.33,96.94,100,19.58,0,0.04
2016-01-01 23:45:00,81.65,97.51,100,18.58,0,0.04
2016-01-02 00:00:00,75.02,98.14,100,14.69,0,0.03
2016-01-02 00:15:00,65.09,98.79,100,10.22,0,0.03
2016-01-02 00:30:00,82.37,96.3,100,23.04,0,0.04
2016-01-02 00:45:00,79.49,97.42,100,18.43,0,0.04
2016-01-02 01:00:00,65.09,99.16,100,8.5,0.14,0.03
2016-01-02 01:15:00,69.7,97.93,100,14.4,0,0.03
2016-01-02 01:30:00,80.21,97.46,100,18.43,0,0.04
2016-01-02 01:45:00,80.64,96.42,100,22.18,0,0.04
2016-01-02 02:00:00,69.7,98.35,100,12.82,0,0.03
2016-01-02 02:15:00,72.43,97.77,100,15.55,0,0.03
2016-01-02 02:30:00,78.34,97.98,100,15.98,0,0.04
2016-01-02 02:45:00,82.66,96.33,100,23.04,0,0.04
2016-01-02 03:00:00,69.26,97.7,100,15.12,0,0.03
2016-01-02 03:15:00,74.45,97.69,100,16.27,0,0.03
2016-01-02 03:30:00,83.52,97.47,100,19.15,0,0.04
2016-01-02 03:45:00,72.14,97.75,100,15.55,0,0.03
2016-01-02 04:00:00,61.78,98.77,100,9.79,0.43,0.03
2016-01-02 04:15:00,80.93,97.54,100,18.29,0,0.04
2016-01-02 04:30:00,74.45,98.15,100,14.54,0,0.03
2016-01-02 04:45:00,72.14,98.18,100,13.97,0,0.03
2016-01-02 05:00:00,75.31,96.83,100,19.44,0,0.03
2016-01-02 05:15:00,76.75,97.48,100,17.57,0,0.04
2016-01-02 05:30:00,74.74,97.98,100,15.26,0,0.03
2016-01-02 05:45:00,72.29,98.07,100,14.4,0,0.03
2016-01-02 06:00:00,73.87,97.2,100,17.86,0,0.03
2016-01-02 06:15:00,74.59,96.9,100,19.01,0,0.03
2016-01-02 06:30:00,77.62,96.57,100,20.88,0,0.04
2016-01-02 06:45:00,76.03,96.29,100,21.31,0,0.03
2016-01-02 07:00:00,69.26,97.07,100,17.14,0,0.03
2016-01-02 07:15:00,79.49,95.67,100,24.19,0,0.04
2016-01-02 07:30:00,81.65,94.82,100,27.36,0,0.04
2016-01-02 07:45:00,66.96,98.18,100,12.96,0,0.03
2016-01-02 08:00:00,73.3,96.37,100,20.3,0,0.03
2016-01-02 08:15:00,76.46,96.6,100,20.45,0,0.04
2016-01-02 08:30:00,75.31,95.21,100,24.19,0,0.03
